id,name,type,display_type,activity_type_display_name,private,bike_id,athlete_gear_id,start_date,start_date_local_raw,start_time,start_day,distance,distance_raw,distance_raw_km,long_unit,short_unit,moving_time,moving_time_raw,elapsed_time,elapsed_time_raw,trainer,static_map,has_latlng,commute,elevation_gain,elevation_unit,elevation_gain_raw,description,activity_url,activity_url_for_twitter,twitter_msg,is_new,is_changing_type,suffer_score,calories,workout_type,flagged,hide_power,hide_heartrate,leaderboard_opt_out,visibility
1098236376,Morning Ride,Ride,Ride,Ride,FALSE,,,"Wed, 7/12/2017",1499853966,2017-07-12T17:06:06+0000,Wed,30.19,30198.7,30.1987,kilometers,km,1:14:27,4467,2:09:54,7794,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/5B26P5CA7QDXVMIG73MHXU5QQBA6RPL5VQU4Y645AXALVMK5MBHJKYWGFEJF2T637VMZNROM6MUKZAPU36PKYXI54XQ7ZWWB,TRUE,FALSE,286,m,286,,https://www.strava.com/activities/1098236376,https://www.strava.com/activities/1098236376?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 30.1 kilometer Ride.,TRUE,FALSE,,679.9110718,,FALSE,FALSE,FALSE,FALSE,everyone
953638007,Morning Ride,Ride,Ride,Ride,FALSE,,,"Thu, 4/20/2017",1492684442,2017-04-20T17:34:02+0000,Thu,71.43,71432.8,71.4328,kilometers,km,2:37:17,9437,2:48:56,10136,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/5L5FFSPOOJLCKSMP2TKJGFANH7QWB6O5DH66CIFINQUYIWCHJNDW3AAR6U6USN3ZI4VHCKYDGJS6C5RZVTUBFUI3EQVVRHKV,TRUE,FALSE,869,m,869,,https://www.strava.com/activities/953638007,https://www.strava.com/activities/953638007?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 71.4 kilometer Ride.,TRUE,FALSE,,2021.36731,,FALSE,FALSE,FALSE,FALSE,everyone
953541245,Afternoon Ride,Ride,Ride,Ride,FALSE,,,"Wed, 4/19/2017",1492624439,2017-04-20T00:53:59+0000,Wed,34.21,34218.4,34.2184,kilometers,km,1:02:51,3771,1:15:52,4552,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/UXYTEBYATZLIBQRN2ZZFOCJ2KFM6YBX3JXETEL7BPTTQYW75ZFIROL3O6WIE7ANBWJ3I6435IJGTJIN4XWSNHAL3EVVBMV35,TRUE,FALSE,37,m,37,,https://www.strava.com/activities/953541245,https://www.strava.com/activities/953541245?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 34.2 kilometer Ride.,FALSE,FALSE,,867.3172607,,FALSE,FALSE,FALSE,FALSE,everyone
949117165,Morning Ride,Ride,Ride,Ride,FALSE,,,"Mon, 4/17/2017",1492424315,2017-04-17T17:18:35+0000,Mon,29.41,29415.6,29.4156,kilometers,km,1:06:48,4008,1:31:59,5519,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/SIAZMI4JJ7I7VKSXUYK7Q7TTRPKNWNJGHXOR2E5HY3QHXQ4HRR4KHUANGI6VO2RZM5PRIJCXHQYHGNF2F56BBSYEGYRRVCKY,TRUE,FALSE,268,m,268,,https://www.strava.com/activities/949117165,https://www.strava.com/activities/949117165?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 29.4 kilometer Ride.,TRUE,FALSE,,720.9261475,,FALSE,FALSE,FALSE,FALSE,everyone
945341630,Brothas Can't Spell But We Know Our Insta-Grammar,Ride,Ride,Ride,FALSE,,,"Sun, 4/16/2017",1492331937,2017-04-16T15:38:57+0000,Sun,136.07,136074,136.074,kilometers,km,4:53:17,17597,5:09:17,18557,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/EVLVGBQS5THN3GSHDASBRBUYXVBXIHGHMONJPLV6KJXWBX3FHXHF3QOBEGJEEVOUUDHZ3H3ITM4FADJSK6G2C376GWMZVXOK,TRUE,FALSE,"2,058",m,2058,,https://www.strava.com/activities/945341630,https://www.strava.com/activities/945341630?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 136.0 kilometer Ride.,FALSE,FALSE,,4184.693359,,FALSE,FALSE,FALSE,FALSE,everyone
943814746,She Said Can You Get My Friends In The Club? I Said Can You Get My Benz In The Club?,Ride,Ride,Ride,FALSE,,,"Sat, 4/15/2017",1492247329,2017-04-15T16:08:49+0000,Sat,123.57,123572,123.572,kilometers,km,3:48:13,13693,4:00:21,14421,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/PUBENORPNVEBGNATUJI4VKCY32Z4C52FWAKHVZ5R5YI5XTLAPBA2XIJ562HS6Z4UVJHVGM53OOHFRVMU2SF4YHUMBAE6Q3MF,TRUE,FALSE,"1,124",m,1124,,https://www.strava.com/activities/943814746,https://www.strava.com/activities/943814746?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 123.5 kilometer Ride.,FALSE,FALSE,,3438.116943,,FALSE,FALSE,FALSE,FALSE,everyone
942228996,Kinda Average At Being Excellent,Ride,Ride,Ride,FALSE,,,"Fri, 4/14/2017",1492165032,2017-04-14T17:17:12+0000,Fri,37.02,37023.7,37.0237,kilometers,km,1:21:21,4881,1:23:02,4982,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/OUXAGEFASPLT6SIOQZFD6ZWJMY44K7E67KC3CAVQAFL6KLDRUY3HKMYLK7EUTABLQPX7NGCMM4ZB5OVOS6ERBHSU3NAQXJVM,TRUE,FALSE,493,m,493,,https://www.strava.com/activities/942228996,https://www.strava.com/activities/942228996?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 37.0 kilometer Ride.,FALSE,FALSE,,1091.048096,,FALSE,FALSE,FALSE,FALSE,everyone
942228909,Morning Ride,Ride,Ride,Ride,TRUE,,,"Fri, 4/14/2017",1492163994,2017-04-14T16:59:54+0000,Fri,9.55,9551.5,9.5515,kilometers,km,16:03,963,16:03,963,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/AT3WPW3FANQCFLMKVJ3DEE2MHX4U2DEI3G76KNB4S4X7U76SDXZPYMGI65BKPJWPZF6X727T5OB7KXSSZNQC2TZH5QWBXV2X,TRUE,FALSE,52,m,51.55,,https://www.strava.com/activities/942228909,https://www.strava.com/activities/942228909?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 9.5 kilometer Ride.,FALSE,FALSE,,290.9730838,,FALSE,FALSE,FALSE,FALSE,only_me
942229023,Lunch Ride,Ride,Ride,Ride,FALSE,,,"Thu, 4/13/2017",1492086001,2017-04-13T19:20:01+0000,Thu,58.67,58671.8,58.6718,kilometers,km,2:01:10,7270,2:13:24,8004,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/KOVKD2HVRFZG4G3MMZGYPR7ZKFY4QPD6PQPVBRGSUN7LBHOI6QRRPMFDH2DJVIUFPQBOYQP7NATLNIVB6AG7T6MFOG3XROKG,TRUE,FALSE,338,m,338,,https://www.strava.com/activities/942229023,https://www.strava.com/activities/942229023?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 58.6 kilometer Ride.,TRUE,FALSE,,1673.931763,,FALSE,FALSE,FALSE,FALSE,everyone
939672530,"Whole Car Strapped, And I Ain't Talkin' Bout Seatbelts",Ride,Ride,Ride,FALSE,,,"Wed, 4/12/2017",1491997041,2017-04-12T18:37:21+0000,Wed,81.4,81399.2,81.3992,kilometers,km,2:46:20,9980,2:55:14,10514,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/SZXPMRCOBZG66LGAGKSOK4AFSWDEFXUI2MOSZO3I2HAEEKDCQ7STAVAOWJX6PSCJSNGAKRFNRTL2NQWYG47K6VUINFQ36NWY,TRUE,FALSE,582,m,582,,https://www.strava.com/activities/939672530,https://www.strava.com/activities/939672530?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 81.4 kilometer Ride.,FALSE,FALSE,,2418.36084,,FALSE,FALSE,FALSE,FALSE,everyone
938000407,Afternoon Ride,Ride,Ride,Ride,FALSE,,,"Mon, 4/10/2017",1491844094,2017-04-11T00:08:14+0000,Mon,21.82,21820.6,21.8206,kilometers,km,47:47:00,2867,51:18:00,3078,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/C2JY7J5CNBJ45AOWGHPVGNSQM22LG5EMZSTN4M6J52MG7LMAQRZLHTGGRMXHJTTFH2YWTWYWN56IT6FJIYCU6XLGFLYVTAQ5,TRUE,FALSE,212,m,212,,https://www.strava.com/activities/938000407,https://www.strava.com/activities/938000407?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 21.8 kilometer Ride.,TRUE,FALSE,,570.1323242,,FALSE,FALSE,FALSE,FALSE,everyone
938002783,"Don't Be Touchin' Me In Kanye Wests Benz, Cause I'll Turn Ya Back Into A Pedestrian",Ride,Ride,Ride,FALSE,,,"Sun, 4/9/2017",1491735930,2017-04-09T18:05:30+0000,Sun,92.13,92130.4,92.1304,kilometers,km,2:26:54,8814,2:26:54,8814,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/NIO64WVBFS2INLOJDFOQTCHC6PVEVF3R3NA55HM3YR2LUIE4JBOLDLDFEIZ3PS4IBGWZSAVSGG6HH3JP5HD5SZRKL3F6U4UZ,TRUE,FALSE,148,m,148,,https://www.strava.com/activities/938002783,https://www.strava.com/activities/938002783?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 92.1 kilometer Ride.,FALSE,FALSE,,2680.549316,,FALSE,FALSE,FALSE,FALSE,everyone
938002604,Afternoon Ride,Ride,Ride,Ride,FALSE,,,"Sat, 4/8/2017",1491665876,2017-04-08T22:37:56+0000,Sat,22.87,22869.3,22.8693,kilometers,km,57:51:00,3471,2:09:49,7789,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/ABLISB73XWIHPFARLSQZ6YVOEZQ2DJ73AKUDXSNGVE3CF6RNDRDTYZAE4D6D2LGSUVMWX7YEYLRNC5CN4NBFAGKNCLLKM5EE,TRUE,FALSE,187,m,187,,https://www.strava.com/activities/938002604,https://www.strava.com/activities/938002604?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 22.8 kilometer Ride.,TRUE,FALSE,,454.647644,,FALSE,FALSE,FALSE,FALSE,everyone
938002546,Morning Ride,Ride,Ride,Ride,FALSE,,,"Thu, 4/6/2017",1491468784,2017-04-06T15:53:04+0000,Thu,19.04,19039.4,19.0394,kilometers,km,43:27:00,2607,1:15:35,4535,FALSE,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/HZU67IXRUPM35XFWQWFOFPLOZPPQ233WVPXRYQXYLGJXVMEGKRDGOVUNPJVU4EEWVQ6AKYWQEJLJSN2SXPI4DLWGBTFY2TM5,TRUE,FALSE,128,m,128,,https://www.strava.com/activities/938002546,https://www.strava.com/activities/938002546?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 19.0 kilometer Ride.,TRUE,FALSE,,479.5966492,,FALSE,FALSE,FALSE,FALSE,everyone
