id,name,type,display_type,activity_type_display_name,private,bike_id,athlete_gear_id,start_date,start_date_local_raw,start_time,start_day,distance,distance_raw,long_unit,short_unit,moving_time,moving_time_raw,elapsed_time,elapsed_time_raw,trainer,static_map,has_latlng,commute,elevation_gain,elevation_unit,elevation_gain_raw,description,activity_url,activity_url_for_twitter,twitter_msg,is_new,is_changing_type,suffer_score,calories,workout_type,flagged,hide_power,hide_heartrate,leaderboard_opt_out,visibility
1590059609,Lunch Ride,Ride,Ride,Ride,false,,,"Fri, 4/6/2018",1523017661,2018-04-06T18:27:41+0000,Fri,0.01,12.6,kilometers,km,18s,18,6:38,398,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/CZXNFKGMJX5ONUZYNM4LMZGKCT2ERUSEBPKRLFCZCFEPXE5VBSHH4UVCCLF2YPEZBTZWYH7XFYGGWGS3QYXTQPB65V5DSQ2G,true,false,0,m,0,,https://www.strava.com/activities/1590059609,https://www.strava.com/activities/1590059609?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 0.0 kilometer Ride.,true,false,,5.311866760253906,,false,false,false,false,everyone
1590059607,Lunch Ride,Ride,Ride,Ride,false,,,"Fri, 4/6/2018",1523015496,2018-04-06T17:51:36+0000,Fri,0.00,8,kilometers,km,8s,8,6:30,390,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/5UCSGJJVPSXZTZUZVX4OR4T62WZ53MAFHRBNOC7LYYJK35FANG4RX5PHAVUSOFWAH5IOKBGBNJNYEETRVG3KJHAU3MO44M56,true,false,0,m,0,,https://www.strava.com/activities/1590059607,https://www.strava.com/activities/1590059607?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 0.0 kilometer Ride.,true,false,,2.384610414505005,,false,false,false,false,everyone
1642774989,Morning Ride,Ride,Ride,Ride,false,,,"Fri, 4/6/2018",1523011682,2018-04-06T16:48:02+0000,Fri,0.01,11.1,kilometers,km,1s,1,10:42,642,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/OH3CLL4M4CLJZMFFTHLBYAJUSR2E2LZBNU7EVJCAJBHXOZTMEASO4REJ3RFSOVZM55JW66VIBJ4UZ7NJPSGQDE37YVQITTX5,true,false,0,m,0,,https://www.strava.com/activities/1642774989,https://www.strava.com/activities/1642774989?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 0.0 kilometer Ride.,true,false,,159,,false,false,false,false,everyone
1642775026,Afternoon Ride,Ride,Ride,Ride,false,,,"Thu, 4/5/2018",1522942368,2018-04-05T21:32:48+0000,Thu,0.05,51.5,kilometers,km,48s,48,59:55,3595,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/P3EJOGSHM7KVHT5ADYM6ZT4VVJR24Q7Z6FDKQIEZIP4GOZ2ZWURFAMLPAYFFMYBJ3QJLKQD7JO5KUHHZD6PRDVBFMXTE45VW,true,false,0,m,0,,https://www.strava.com/activities/1642775026,https://www.strava.com/activities/1642775026?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 0.0 kilometer Ride.,true,false,,440,,false,false,false,false,everyone
1642774934,Afternoon Ride,Ride,Ride,Ride,false,,,"Thu, 4/5/2018",1522935440,2018-04-05T19:37:20+0000,Thu,0.03,36.6,kilometers,km,9s,9,1:09:09,4149,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/TTBWYL3N5APHWBJKLDAYQC3G5R2WWCLKSGT6RE4VJSHO3AMWF3YICLGZA5FUFZYA3JKXAVARPZ2HGYOOBQLX4YIBG7VDVTYW,true,false,0,m,0,,https://www.strava.com/activities/1642774934,https://www.strava.com/activities/1642774934?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 0.0 kilometer Ride.,true,false,,450,,false,false,false,false,everyone
1590059589,Lunch Ride,Ride,Ride,Ride,false,,,"Thu, 4/5/2018",1522932067,2018-04-05T18:41:07+0000,Thu,0.00,5.6,kilometers,km,0s,0,6:54,414,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/JVEEE3OHTICWZXXJIEWDFNAUUJ344YVWCNBI6AC47Y6IECD3YGUT5VVD34CAFCVJ3EC6XCQRM627ROCEFW23CDZV4F7BPT5M,true,false,0,m,0,,https://www.strava.com/activities/1590059589,https://www.strava.com/activities/1590059589?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 0.0 kilometer Ride.,true,false,,0,,false,false,false,false,everyone
1590059572,Lunch Ride,Ride,Ride,Ride,false,,,"Thu, 4/5/2018",1522931113,2018-04-05T18:25:13+0000,Thu,0.02,19.5,kilometers,km,24s,24,6:41,401,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/T5HPNDZCSIFREX2JJD6XD4TZLE2NAQH7SCMDDDZ7KP42BCEJULGR6MK6T7EPISAOTYIYFZHDAXMJGP5XOXZPMIP2YHO5JABN,true,false,0,m,0,,https://www.strava.com/activities/1590059572,https://www.strava.com/activities/1590059572?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 0.0 kilometer Ride.,true,false,,2.133366107940674,,false,false,false,false,everyone
1590059562,Afternoon Ride,Ride,Ride,Ride,false,,,"Wed, 4/4/2018",1522862409,2018-04-04T23:20:09+0000,Wed,0.00,3.7,kilometers,km,0s,0,13:44,824,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/G2PGBEGREJJAJBW7I3X6ZD56W6I5NE52K45RRLDKYZUOKQJOIIJ2R74HCTFCEGTFUZRPAEBTTARQSJJLJVIMA55LJATL6A32,true,false,0,m,0,,https://www.strava.com/activities/1590059562,https://www.strava.com/activities/1590059562?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 0.0 kilometer Ride.,true,false,,0,,false,false,false,false,everyone
1642774771,Afternoon Ride,Ride,Ride,Ride,false,,,"Wed, 4/4/2018",1522854551,2018-04-04T21:09:11+0000,Wed,0.02,24,kilometers,km,22s,22,24:58,1498,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/QRECJ74O3TCWTQSGMQHCLTH443TYUHHN2UYUNI7OVE22UZKNFCYCX7XYLU6GCZBYQF3FCUF2P7UNSD2OCUAVVQMWXT7XMVBN,true,false,0,m,0,,https://www.strava.com/activities/1642774771,https://www.strava.com/activities/1642774771?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 0.0 kilometer Ride.,true,false,,225,,false,false,false,false,everyone
1642774712,Afternoon Ride,Ride,Ride,Ride,false,,,"Wed, 4/4/2018",1522852356,2018-04-04T20:32:36+0000,Wed,0.01,13.1,kilometers,km,3s,3,27:18,1638,false,https://d3o5xota0a1fcr.cloudfront.net/v6/maps/QACSX6HIPWYQAPUYXLPIGBRGY3P3RM7FJHXUAVUJXGH7ZDKZ5KSYR3KJBG2HUMYWCTER3LNNLOR6NT47BPKY42TNOIPD26WN,true,false,0,m,0,,https://www.strava.com/activities/1642774712,https://www.strava.com/activities/1642774712?utm_content=1464505&utm_medium=referral&utm_source=twitter,went for a 0.0 kilometer Ride.,true,false,,232,,false,false,false,false,everyone
